,0.0,0.8,1.6,2.4,3.2,4.0,4.8,5.6,6.4,7.2,8.0,8.8,9.6,10.4,11.2,12.0
16.0,0.4,0.39,0.39,0.39,0.38,0.37,0.36,0.35,0.34,0.32,0.31,0.3,0.28,0.27,0.26,0.24
15.2,0.41,0.4,0.4,0.39,0.39,0.38,0.36,0.35,0.34,0.32,0.31,0.3,0.28,0.27,0.25,0.24
14.4,0.42,0.42,0.41,0.4,0.39,0.38,0.37,0.36,0.34,0.33,0.31,0.29,0.28,0.27,0.25,0.24
13.6,0.43,0.43,0.42,0.41,0.4,0.39,0.38,0.36,0.34,0.33,0.31,0.29,0.28,0.26,0.25,0.23
12.8,0.44,0.44,0.43,0.42,0.41,0.4,0.38,0.36,0.35,0.33,0.31,0.29,0.27,0.26,0.24,0.23
12.0,0.45,0.45,0.45,0.44,0.42,0.41,0.39,0.37,0.35,0.33,0.31,0.29,0.27,0.25,0.24,0.22
11.2,0.47,0.47,0.46,0.45,0.43,0.41,0.39,0.37,0.35,0.33,0.3,0.28,0.26,0.25,0.23,0.22
10.4,0.49,0.48,0.47,0.46,0.44,0.42,0.4,0.37,0.35,0.32,0.3,0.28,0.26,0.24,0.22,0.21
9.6,0.51,0.5,0.49,0.47,0.45,0.43,0.4,0.37,0.34,0.32,0.29,0.27,0.25,0.23,0.22,0.2
8.8,0.53,0.52,0.51,0.49,0.46,0.43,0.4,0.37,0.34,0.31,0.29,0.26,0.24,0.22,0.21,0.19
8.0,0.55,0.54,0.53,0.5,0.47,0.44,0.4,0.37,0.33,0.3,0.28,0.25,0.23,0.21,0.2,0.18
7.2,0.58,0.57,0.55,0.52,0.48,0.44,0.4,0.36,0.32,0.29,0.26,0.24,0.22,0.2,0.18,0.17
6.4,0.61,0.6,0.57,0.54,0.49,0.44,0.39,0.35,0.31,0.28,0.25,0.22,0.2,0.19,0.17,0.16
5.6,0.64,0.63,0.6,0.55,0.5,0.44,0.38,0.34,0.3,0.26,0.23,0.21,0.19,0.17,0.16,0.15
4.8,0.68,0.67,0.63,0.57,0.5,0.43,0.37,0.32,0.27,0.24,0.21,0.19,0.17,0.16,0.15,0.14
4.0,0.73,0.71,0.66,0.58,0.49,0.41,0.34,0.29,0.25,0.22,0.19,0.17,0.16,0.14,0.13,0.12
3.2,0.79,0.77,0.69,0.59,0.48,0.38,0.31,0.26,0.22,0.19,0.17,0.15,0.14,0.13,0.12,0.11
2.4,0.86,0.83,0.73,0.58,0.44,0.34,0.27,0.22,0.19,0.17,0.15,0.14,0.13,0.12,0.11,0.1
1.6,0.92,0.89,0.77,0.56,0.38,0.28,0.22,0.19,0.16,0.14,0.13,0.12,0.11,0.11,0.1,0.1
0.8,0.98,0.96,0.84,0.48,0.29,0.22,0.18,0.16,0.14,0.13,0.12,0.11,0.11,0.1,0.1,0.09
0.0,1.0,1.0,1.0,0.36,0.24,0.19,0.16,0.15,0.14,0.13,0.12,0.11,0.11,0.1,0.1,0.09
